Question,A,B,C,D,E,Correct Answer(s)
"What is the most likely reason data traffic between WLC and APs is in plain-text despite DTLS being configured?","DTLS only provides authentication and does not encrypt data","Data encryption requires a DTLS license on each AP","Although DTLS secures the CAPWAP control channel by default, it is disabled by default for the data channel","DTLS only provides security between AP and wireless client",,C
"Both switches have trunk ports in dynamic auto mode, and hosts on VLANs 10 and 30 cannot communicate. What action should the administrator take?","Associate hosts A and B with VLAN 10 instead of VLAN 1","Configure either trunk port in the dynamic desirable mode","Add the switchport nonegotiate command to SW2","Include a router in the topology","Remove the native VLAN from the trunk",B
"What action takes place when the source MAC address of a frame entering a switch is NOT in the MAC address table?","The switch replaces the old entry and uses the more current port","The switch adds a MAC address table entry for the destination MAC address","The switch updates the refresh timer for the entry","The switch adds the MAC address and incoming port number to the table",,D
"With WPA2 configured on a SOHO router, which two authentication methods are used? (Choose two.)","AES","TKIP","personal","WEP","enterprise","A, C or A, E"
"On a Cisco 3500 series WLC, which tab creates a new VLAN interface for a new WLAN?","WLANs","CONTROLLER","WIRELESS","MANAGEMENT",,B
"From the show etherchannel summary output, which two conclusions can be drawn? (Choose two.)","The port channel ID is 2","The bundle is fully operational","The port channel is a Layer 3 channel","The load-balancing method is source port to destination port","The EtherChannel is down","A, E"
"Which three statements accurately describe duplex and speed settings on Cisco 2960 switches? (Choose three.)","By default speed is 100 Mb/s and duplex is set to autonegotiation","An autonegotiation failure can result in connectivity issues","The duplex and speed settings of each port can be manually configured","When speed is set to 1000 Mb/s ports will operate in full-duplex mode","By default the autonegotiation feature is disabled","B, C, D"
"A Layer 3 switch routes three VLANs and connects to a router for Internet. Which two configurations are applied to the switch? (Choose two.)","interface fastethernet0/4 / switchport mode trunk","interface vlan 1 / ip address 192.168.1.2 255.255.255.0","ip routing","interface gigabitethernet 1/1 / no switchport / ip address 192.168.1.2 255.255.255.252","interface gigabitethernet1/1 / switchport mode trunk","C, D"
"PC3 issues a broadcast DHCP request. To which ports will SW1 forward this request?","to Fa0/1 only","to Fa0/1, Fa0/2, and Fa0/4 only","to Fa0/1, Fa0/2, Fa0/3, and Fa0/4","to Fa0/1, Fa0/2, and Fa0/3 only","to Fa0/1 and Fa0/2 only",D
"Which statement is correct about how a Layer 2 switch determines how to forward frames?","Only frames with a broadcast destination address are forwarded out all active switch ports","Frame forwarding decisions are based on MAC address and port mappings in the CAM table","Cut-through frame forwarding ensures that invalid frames are always dropped","Unicast frames are always forwarded regardless of the destination MAC address",,B
"Employees are unable to connect to servers on one internal network. What should be done?","Use the show ip interface brief command to see if an interface is down","Verify that there is not a default route in edge router routing tables","Check the statistics on the default route for oversaturation","Create static routes to all internal networks and a default route to the internet",,A
"Which protocol requires switches to be in server mode or client mode?","VTP","EtherChannel","HSRP","DTP",,A
"What is the effect of entering the shutdown configuration command on a switch?","It disables an unused port","It enables portfast on a specific switch interface","It disables DTP on a non-trunking interface","It enables BPDU guard on a specific port",,A
"What else is required when configuring an IPv6 static route using a next-hop link-local address?","Network number and subnet mask on the interface of the neighbor router","IP address of the neighbor router","Interface number and type","Administrative distance",,C
"A traceroute to a new network showed wrong path and unreachable status. What should a junior technician check?","Verify that there is not a default route in edge router routing tables","Create a floating static route to that network","Check the configuration on the floating static route and adjust the AD","Check the configuration of the exit interface on the new static route",,D
"Why might configuring a 5 GHz SSID improve wireless performance for streaming video?","The 5 GHz band has more channels and is less crowded than the 2.4 GHz band","The only users that can switch to 5 GHz will be those with the latest NICs reducing usage","Requiring users to switch to 5 GHz is inconvenient resulting in fewer users","The 5 GHz band has a greater range and is therefore likely to be interference-free",,A
"On which switch ports should BPDU guard be enabled to enhance STP stability?","Only ports that are elected as designated ports","Only ports that attach to a neighboring switch","All PortFast-enabled ports","All trunk ports that are not root ports",,C
"If Cisco Express Forwarding is disabled, how will a router handle static routing differently?","Serial point-to-point interfaces will require fully specified static routes","It will not perform recursive lookups","Static routes that use an exit interface will be unnecessary","Ethernet multiaccess interfaces will require fully specified static routes",,D
"Which protocol allows data to transmit over redundant switch links?","STP","VTP","EtherChannel","DTP",,C
"An IPv6 router receives a Router Solicitation (RS) message. Which two pieces of information will it send back? (Choose two.)","prefix","domain name","subnet mask in dotted decimal notation","administrative distance","DNS server IP address","prefix length","A, F"
"Which two VTP modes allow creation, modification, and deletion of VLANs on the local switch? (Choose two.)","distribution","master","server","client","transparent","C, E"
"What will router R1 do with a packet destined for 2001:db8:cafe:5::1 when the routing table has ::/0?","forward the packet out GigabitEthernet0/0","forward the packet out Serial0/0/0","forward the packet out GigabitEthernet0/1","drop the packet",,B
"What is a drawback of the local database method of securing device access that AAA with centralized servers can solve?","There is no ability to provide accountability","It is very susceptible to brute-force attacks because there is no username","The passwords can only be stored in plain text","User accounts must be configured locally on each device which is unscalable",,D
"Which three Wi-Fi standards operate in the 2.4 GHz range? (Choose three.)","802.11ac","802.11a","802.11n","802.11b","802.11g","C, D, E"
"Which command creates a static route on R2 to reach PC B at network 172.16.2.0?","R2(config)# ip route 172.16.2.0 255.255.255.0 172.16.2.254","R2(config)# ip route 172.16.2.0 255.255.255.0 172.16.3.1","R2(config)# ip route 172.16.2.1 255.255.255.0 172.16.3.1","R2(config)# ip route 172.16.3.0 255.255.255.0 172.16.2.254",,B
"What is the effect of entering the switchport mode access configuration command on a switch?","It disables DTP on a non-trunking interface","It disables an unused port","It manually enables a trunk link","It enables BPDU guard on a specific port",,A
"Which statement in the output allows router R1 to respond to stateless DHCPv6 requests?","ipv6 nd other-config-flag","ipv6 dhcp server LAN1","prefix-delegation 2001:DB8:8::/48 00030001000E84244E70","ipv6 unicast-routing","dns-server 2001:DB8:8::8",A
"From show port-security interface fa 0/2 output, which three conclusions can be drawn? (Choose three.)","The port is configured as a trunk link","This port is currently up","The switch port mode for this interface is access mode","Three security violations have been detected","There is no device currently connected to this port","Security violations will cause this port to shut down immediately","B, C, F"
"What are two reasons a network administrator would segment a network with a Layer 2 switch? (Choose two.)","To isolate ARP request messages from the rest of the network","To create more broadcast domains","To enhance user bandwidth","To eliminate virtual circuits","To create fewer collision domains","To isolate traffic between segments","C, F"
"What action takes place when a frame entering a switch has a unicast destination MAC address APPEARING in the MAC address table?","The switch resets the refresh timer on all MAC address table entries","The switch forwards the frame out of the specified port","The switch updates the refresh timer for the entry","The switch will forward the frame out all ports except the incoming port",,B
"In the router-on-a-stick model, what configuration should be made on the switch port connecting to the router?","Configure the port as a trunk port and assign it to VLAN1","Configure it as a trunk port and allow only untagged traffic","Configure the port as an 802.1q trunk port","Configure the port as an access port and a member of VLAN1",,C
"What is the effect of entering the switchport port-security configuration command on a switch?","It enables port security globally on the switch","It dynamically learns the L2 address and copies it to the running configuration","It restricts the number of discovery messages per second on the interface","It enables port security on an interface",,D
"Users cannot reach a company web server but can reach other destinations. What should be checked?","Ensure that the old default route has been removed from company edge routers","Verify that the static route to the server is present in the routing table","Create a floating static route to that network","Check the configuration on the floating static route and adjust the AD",,B
"Based on the partial configuration with ipv6 nd managed-config-flag and ipv6 dhcp server CORP_LAN, which IPv6 assignment scheme is intended?","manual configuration","stateful","stateless","SLAAC",,B
"What is the correct order of switch boot sequence steps?","POST / boot loader from ROM / CPU register init / flash init / load IOS / transfer control to IOS","boot loader / POST / CPU init / flash init / load IOS / transfer to IOS","POST / flash init / CPU register init / boot loader / load IOS / transfer to IOS","POST / boot loader / flash init / CPU register init / load IOS / transfer to IOS",,A
"Which protocol disables redundant paths to eliminate Layer 2 loops?","EtherChannel","DTP","STP","VTP",,C
"During the AAA process, when will authorization be implemented?","Immediately after determining which resources a user can access","Immediately after an AAA client sends authentication info to a centralized server","Immediately after AAA accounting and auditing receives detailed reports","Immediately after successful authentication against an AAA data source",,D
"Which two protocols provide server-based AAA authentication? (Choose two.)","TACACS+","RADIUS","SNMP","802.1x","SSH","A, B"
"Why would a network administrator use a WLAN controller?","To centralize management of multiple WLANs","To provide prioritized service for time-sensitive applications","To facilitate group configuration and management of multiple WLANs through a WLC","To reduce the risk of unauthorized APs being added to the network",,A
"Why would an administrator change the default DHCP IPv4 addresses on an AP?","To reduce outsiders intercepting data by using a well-known address range","To reduce the risk of interference by external devices such as microwave ovens","To restrict access to the WLAN by authorized authenticated users only","To monitor the operation of the wireless network",,A
"What action takes place when a frame entering a switch has a MULTICAST destination MAC address?","The switch will forward the frame out all ports except the incoming port","The switch adds the MAC address and incoming port number to the table","The switch updates the refresh timer for the entry","The switch adds a MAC address table entry for the destination MAC and egress port",,A
"Which two statements are characteristics of routed ports on a multilayer switch? (Choose two.)","They are not associated with a particular VLAN","The interface vlan command has to be entered to create a VLAN on routed ports","They support subinterfaces like interfaces on Cisco IOS routers","They are used for point-to-multipoint links","In a switched network they are mostly configured between switches at the core and distribution layers","A, E"
"A user is sending a double-tagged 802.1Q frame to a switch. What is the best solution to prevent this attack?","The VLANs for user access ports should be different VLANs than any native VLANs used on trunk ports","Trunk ports should use the default VLAN as the native VLAN number","Trunk ports should be configured with port security","The native VLAN number used on any trunk should be one of the active data VLANs",,A
"What IPv6 prefix is designed for link-local communication?","fe80::/10","fc::/07","2001::/3","ff00::/8",,A
"Which protocol defines a group of routers with one active and one standby?","HSRP","VTP","EtherChannel","DTP",,A
"What is the effect of entering the ip dhcp snooping configuration command on a switch?","It enables DHCP snooping globally on a switch","It disables DTP negotiations on trunking ports","It manually enables a trunk link","It enables PortFast globally on a switch",,A
