"question","a","b","c","d","answer"
"What is the main goal of the Philippine E-Commerce Law, RA 8792?","To support electronic transactions and legally recognize digital documents","To control all online posts","To regulate only face-to-face business","To reduce public internet access","A"
"In cybersecurity, what is the primary purpose of a firewall?","To increase computer storage","To create backup copies of files","To block unauthorized traffic entering or leaving a network","To make browsing faster","C"
"Which ethical theory judges actions mainly by their results or consequences?","Contractarianism","Virtue ethics","Deontology","Utilitarianism","D"
"How should a professional handle a conflict of interest ethically?","Always pass every decision to someone else","Pretend the issue does not exist","Disclose the conflict and avoid taking part in related decisions when appropriate","Hide the conflict","C"
"Which action would violate RA 10173?","Accessing a network with valid permission","Sharing or selling personal data without the data subject's consent","Using data only for the purpose originally explained","Sending general promotional messages","B"
"What is the main purpose of intellectual property laws in computer engineering?","To stop all sharing of digital content","To make every software product free","To give the government full control over software","To protect the rights of creators and innovators","D"
"Which regulation requires notification to affected people and authorities after certain data breaches?","GDPR","DMCA","CFAA","HIPAA","A"
"What does the ACM Code of Ethics mainly provide for computing professionals?","Rules for controlling global internet use","A certification system for engineers","Methods for maximizing technology profits","Guidance for ethical decisions and professional conduct","D"
"Under RA 8792, when may electronic records have legal effect?","Only after being printed and manually signed","Only when issued by the government","Only for transactions below PHP 100,000","When they meet legal requirements, they can have the same effect as paper documents","D"
"If a company copies a patented software feature without permission, what law is most directly involved?","Patent law","Trade secret law","Copyright law","Trademark law","A"
"A company uses personal information for targeted ads without consent. Which ethical principle is most affected?","Justice","Non-maleficence","Beneficence","Autonomy","D"
"How does globalization influence engineering work?","It encourages international collaboration and shared innovation","It removes the need for continued training","It creates one identical standard for every place","It eliminates collaboration","A"
"What characterizes ethical leadership in engineering?","Putting profit above ethics","Delegating all responsibility to others","Making decisions with integrity, fairness, and sound ethical judgment","Obeying instructions blindly","C"
"If a technology company collects personal data without informing users, which Philippine law may be violated?","Economic Espionage Act","RA 10173","DMCA","RA 8293","B"
"Which law requires financial institutions to protect the confidentiality of customer information?","Fair Credit Reporting Act","Gramm-Leach-Bliley Act","USA PATRIOT Act","Sarbanes-Oxley Act","B"
"Which practice uses large datasets to help train machine learning systems?","Data fusion","Manual data entry","Data warehousing","Data mining","D"
"What rights do data subjects have under RA 10173 regarding their personal information?","The right to access, correct, and request deletion or blocking under proper conditions","The right to access all system resources","The right to erase all data without any condition","The right to bypass security controls","A"
"Which form of intellectual property protection is used for inventions?","Trade secret","Patent","Copyright","Trademark","B"
"What is the main purpose of a trademark?","To protect a product's visual layout only","To secure confidential business information","To stop copying of source code","To identify and distinguish goods or services in the marketplace","D"
"What practice promotes diversity and inclusion in engineering?","Providing equal access to opportunities for all qualified individuals","Maintaining rigid technical hierarchies","Hiring only from selected backgrounds","Ignoring inclusion when technical skills are strong","A"
"In professional practice, what does accountability mean?","Answering only when a supervisor asks","Denying involvement in mistakes","Taking responsibility for one's actions and decisions","Passing responsibility to someone else","C"
"Which Philippine agency enforces RA 10173?","HIPAA","Department of Trade and Industry (DTI)","National Privacy Commission (NPC)","Securities and Exchange Commission (SEC)","C"
"What is HIPAA mainly concerned with in relation to computing and health systems?","Protecting the privacy and confidentiality of health information","Standardizing every health record format","Regulating online advertisements","Protecting software patents","A"
"Which statement reflects RA 8792 on electronic contracts?","Electronic contracts may be enforceable when the parties agree to use electronic methods","It only covers fair trading practices","It sets one software development process","It regulates the environmental effects of technology","A"
"What is a major ethical concern involving artificial intelligence?","AI systems can be expensive","AI systems may create biased or discriminatory outcomes","AI systems process data quickly","AI models are technically complex","B"
"What term describes internet-connected devices, such as smart appliances, that communicate with one another?","Cloud Computing","Big Data","Blockchain","Internet of Things (IoT)","D"
"In blockchain, what is a smart contract?","A self-executing agreement whose terms are written in code","A digital file with no automatic function","A legal agreement used only for online services","A normal paper contract","A"
"If a competitor uses similar branding to confuse customers, what legal claim may apply?","A simple business complaint with no legal basis","A request for apology only","Patent infringement case","Trademark infringement action","D"
"When building healthcare software, what should be the highest priority?","Adding trendy user interactions","Meeting regulations and protecting patient safety","Reducing development cost","Using only the newest technology","B"
"When developing technology for underserved communities, what should engineers carefully consider?","Minimal community participation","Profit margin above usefulness","The community's culture, context, and real needs","The newest technology trend","C"
"Why is continuing professional development important for engineers?","It helps them remain competent and current in professional practice","It is only for expanding networks","It exists mainly to raise salaries","It is only about licensing paperwork","A"
"What is a risk of using IoT devices in critical infrastructure?","They always reduce operating costs","They may increase exposure to cyber threats","They remove all need for analytics","They prevent automation","B"
"When engineers design technology for another country, what should they consider?","Only their own country's standards","That country's laws, customs, and cultural values","Only the cheapest possible design","Only simplified technical features","B"
"Which organization develops Internet protocols and supports interoperability among systems?","W3C","IETF","IEEE","ISO","B"
"If a manager asks an engineer to change test results to please a client, what should the engineer do?","Ignore the manager without explanation","Discuss the issue and refuse to falsify the results","Immediately destroy the test records","Change the results to satisfy the client","B"
"An employee uses company software for a personal side project. What does this best illustrate?","Open-source contribution","Corporate social responsibility","Improper use of intellectual property","Ethical hacking","C"
"A software engineer discovers a serious security flaw in a company product. What should they do first?","Ignore the issue to avoid conflict","Post it publicly on social media","Report it to management and recommend urgent corrective action","Sell the information to a competitor","C"
"During an upgrade, an engineer finds evidence of earlier data breaches. What is the immediate ethical action?","Escalate the discovery to the proper internal authority","Leak the information to the media first","Hide the incident to protect the company","Delete the evidence","A"
"How should engineers respond when a non-engineer overrides their professional judgment?","Respectfully explain the professional concerns and seek a reasonable resolution","Ignore the issue and proceed silently","Attack the decision aggressively","Follow orders without raising concerns","A"
"What is two-factor authentication, or 2FA?","A security process that uses two separate forms of verification","A method only for encrypting data","A one-step login process","A type of firewall","A"
"If a manufacturer falsely claims its products come from a famous region, which law may be implicated in the Philippines?","RA 10055","RA 8293","RA 8792","RA 10175","B"
"If a company releases AI without an ethical review, which principle is it neglecting most directly?","Accountability","Justice","Autonomy","Transparency","A"
"An engineer receives an offer from a competitor while working on a confidential project. What is the ethical response?","Share confidential details to impress the new employer","Consider the offer while keeping confidential information protected and honoring current duties","Use sensitive information to negotiate better pay","Accept immediately and ignore current obligations","B"
"What is essential for maintaining professional competence?","Expanding social connections only","Building a public personal brand","Becoming an expert in finance","Regularly updating professional knowledge and technical skills","D"
"What does cybercrime mean?","Legitimate online business activity","Authorized security testing","Criminal activity carried out through computers or digital networks","The normal process of developing software","C"
"In copyright law, what does fair use generally allow?","Unlimited free use of all copyrighted works","Limited use of copyrighted material without permission when legal conditions are met","Use only after getting permission every time","Permanent ownership of another person's work","B"
"If a developer is fired for reporting unsafe practices, what protection might they rely on?","Enforcement of an NDA","Legal protections for whistleblowers","Trademark rights","Copyright protection","B"
"Which idea is emphasized in the IEEE Code of Ethics?","Using technology only for defense","Placing profit above ethical duties","Keeping all professional information secret","Avoiding harm to others through professional work","D"
"What is one benefit of attending international engineering conferences?","Promoting personal beliefs","Learning current global trends and recognized best practices","Receiving larger project budgets","Reducing exposure to innovation","B"
